brand,model,desc,base,shape,price,p,lm_prc,lm,eff,eq,color,cri,angle,flicker,rating,war,hash_id,color_from_desc,lm_from_desc,w_from_desc
Lexman,RUK-L2-E14-P-05 Varton,2700K 750lm 7.5W M,E14,G45,,7.1,86.0,645.0,91,65.0,2803.0,85,,0.0,4.3,36.0,b7bb2bfe207e1aac735a2b223b1e9e3d-34,2700.0,750.0,5.0
Lexman,CF35-1M4.5W40KE14R LM,4000K 470lm 4.5W M F,E14,Candle,71.0,4.4,120.0,562.0,129,60.0,4024.0,81,,0.0,4.5,60.0,b7bb2bfe207e1aac735a2b223b1e9e3d-35,4000.0,470.0,5.0
Lexman,CF35-1M4.5W40KE14R LM,4000K 470lm 4.5W M F,E14,Candle,71.0,4.5,124.0,585.0,129,60.0,4086.0,82,,0.0,4.5,60.0,b7bb2bfe207e1aac735a2b223b1e9e3d-36,4000.0,470.0,5.0
Lexman,LCLB40 4W/827 230V FIL FR E14 Ledvance,2700K 400lm 3.9W M F,E14,Candle,88.0,4.2,125.0,500.0,119,55.0,2700.0,84,,0.0,4.5,60.0,b7bb2bfe207e1aac735a2b223b1e9e3d-37,2700.0,400.0,9.0
Noname,RUK-FPE14-C-03 IEK,4000K 750lm 8W M,E14,Candle,76.0,7.0,101.0,755.0,108,75.0,4006.0,82,,0.0,4.5,12.0,b7bb2bfe207e1aac735a2b223b1e9e3d-38,4000.0,750.0,8.0
Noname,RUK-FPE14-C-04 IEK,2700K 750lm 8W M,E14,Candle,76.0,7.5,105.0,786.0,105,75.0,2778.0,82,,0.0,4.5,12.0,b7bb2bfe207e1aac735a2b223b1e9e3d-39,2700.0,750.0,8.0
Lexman,RUK-L2-E14-C-06 Varton,4000K 750lm 7W M,E14,Candle,84.0,6.7,108.0,810.0,120,75.0,3960.0,84,,0.0,4.5,36.0,b7bb2bfe207e1aac735a2b223b1e9e3d-40,4000.0,750.0,7.0
Lexman,RUK-L2-E14-C-05 Varton,2700K 750lm 7W M,E14,Candle,84.0,6.8,96.0,723.0,107,70.0,2722.0,83,,0.0,4.5,36.0,b7bb2bfe207e1aac735a2b223b1e9e3d-41,2700.0,750.0,7.0
Noname,RUK-FPE14-C-02 IEK,4000K 600lm 6.5W M,E14,Candle,63.0,6.4,93.0,560.0,88,60.0,4130.0,82,,0.0,4.4,12.0,b7bb2bfe207e1aac735a2b223b1e9e3d-42,4000.0,600.0,5.0
Noname,RUK-FPE14-C-02 IEK,4000K 600lm 6.5W M,E14,Candle,63.0,5.3,73.0,435.0,83,50.0,4196.0,83,,0.0,3.9,12.0,b7bb2bfe207e1aac735a2b223b1e9e3d-43,4000.0,600.0,5.0
Lexman,C35C9E-470LM-E14 LM,2700K 470lm 5W M,E14,Candle,43.0,5.0,110.0,519.0,104,55.0,2694.0,84,,0.0,4.5,36.0,b7bb2bfe207e1aac735a2b223b1e9e3d-44,2700.0,470.0,5.0
Lexman,RUK-L2-E14-C-02 Varton,4000K 400lm 5W M,E14,Candle,81.0,5.2,121.0,485.0,93,55.0,4060.0,81,,1.0,4.5,36.0,b7bb2bfe207e1aac735a2b223b1e9e3d-45,4000.0,400.0,5.0
Lexman,RUK-L2-E14-C-01 Varton,2700K 400lm 5W M,E14,Candle,81.0,5.4,115.0,458.0,85,50.0,2754.0,83,,1.0,4.5,36.0,b7bb2bfe207e1aac735a2b223b1e9e3d-46,2700.0,400.0,5.0
Uniel,Air Dimmable LED-CW35-5W/NW/E14/CL/DIM GLA01TR,4000K 490lm 5W F D,E14,Candle,146.0,4.0,91.0,448.0,111,50.0,3820.0,84,,42.0,1.9,36.0,b7bb2bfe207e1aac735a2b223b1e9e3d-47,4000.0,490.0,5.0
Uniel,Air Dimmable LED-C35-5W/NW/E14/CL/DIM GLA01TR,4000K 450lm 5W F D,E14,Candle,146.0,4.1,100.0,452.0,110,50.0,3833.0,84,,47.0,2.0,36.0,b7bb2bfe207e1aac735a2b223b1e9e3d-48,4000.0,450.0,5.0
Osram,AC14331 LED STAR CLASSIC BA FILAMENT BA60,2700K 600lm 5W F,E14,Candle,181.0,4.9,114.0,686.0,139,70.0,2734.0,86,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-49,2700.0,600.0,5.0
Osram,AC07606 LED STAR CLASSIC B 60,2700K 660lm 5W M,E14,Candle,167.0,4.9,101.0,665.0,136,70.0,2674.0,85,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-0,2700.0,660.0,5.0
Osram,AC07606 LED STAR CLASSIC B60,2700K 660lm 5W M,E14,Candle,167.0,4.9,102.0,671.0,138,70.0,2728.0,83,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-1,2700.0,660.0,5.0
Osram,AC25393 LED STAR CLASSIC B75,4000K 806lm 7.5W M,E14,Candle,167.0,7.3,114.0,918.0,126,85.0,4032.0,81,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-2,4000.0,806.0,5.0
Bellight,C37 8W E14 4000 (L),4000K 750lm 8W M,E14,Candle,85.0,6.5,95.0,712.0,109,70.0,4124.0,80,,0.0,4.4,12.0,7b530f42563b52c4f4cdd364145e9a6a-3,4000.0,750.0,8.0
Bellight,C37 7W E14 3000 (L),3000K 600lm 7W M,E14,Candle,70.0,7.0,96.0,577.0,82,60.0,2931.0,82,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-4,3000.0,600.0,7.0
Bellight,C37 5W E14 4000 (L),4000K 470lm 5W M,E14,Candle,70.0,6.3,123.0,577.0,92,60.0,4005.0,81,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-5,4000.0,470.0,5.0
Bellight,C37 5W E14 3000 (L),3000K 470lm 5W M,E14,Candle,70.0,6.0,109.0,510.0,85,55.0,2931.0,83,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-6,3000.0,470.0,5.0
Volpe,Norma LED-C37-7W/NW/E14/FR/NR,4000K 600lm 7W M,E14,Candle,67.0,4.7,67.0,399.0,84,45.0,3904.0,81,,0.0,3.9,36.0,7b530f42563b52c4f4cdd364145e9a6a-7,4000.0,600.0,7.0
Gauss,Basic 1047154,2400K 350lm 3.8W F,E14,Candle,150.0,3.8,93.0,326.0,85,40.0,2414.0,85,,0.0,4.4,24.0,7b530f42563b52c4f4cdd364145e9a6a-8,2400.0,350.0,8.0
Gauss,Basic 1037154,2400K 350lm 3.8W F,E14,Candle,150.0,3.8,104.0,365.0,96,40.0,2462.0,84,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-9,2400.0,350.0,8.0
Gauss,104801211,4100K 830lm 11W F,E14,Candle,178.0,5.8,104.0,864.0,149,80.0,4213.0,81,,0.0,4.5,36.0,7b530f42563b52c4f4cdd364145e9a6a-10,4100.0,830.0,11.0
Gauss,104801111,2700K 810lm 11W F,E14,Candle,178.0,5.7,90.0,729.0,127,70.0,2736.0,84,,0.0,4.4,36.0,7b530f42563b52c4f4cdd364145e9a6a-11,2700.0,810.0,11.0
Gauss,103801211,4100K 830lm 11W F,E14,Candle,137.0,5.8,102.0,850.0,148,80.0,3849.0,81,,0.0,4.3,36.0,7b530f42563b52c4f4cdd364145e9a6a-12,4100.0,830.0,11.0
Gauss,103801111,2700K 810lm 11W F,E14,Candle,137.0,5.8,96.0,777.0,134,75.0,2694.0,83,,0.0,4.5,36.0,7b530f42563b52c4f4cdd364145e9a6a-13,2700.0,810.0,11.0
Gauss,103801111,2700K 810lm 11W F,E14,Candle,125.0,5.7,92.0,749.0,130,75.0,2732.0,83,,0.0,4.4,36.0,7b530f42563b52c4f4cdd364145e9a6a-14,2700.0,810.0,11.0
Gauss,Basic 1045120,4100K 790lm 10.5W M F,E14,Candle,162.0,5.8,87.0,686.0,118,70.0,4038.0,81,,0.0,4.3,24.0,7b530f42563b52c4f4cdd364145e9a6a-15,4100.0,790.0,5.0
Gauss,Basic 1035120,4100K 790lm 10.5W M F,E14,Candle,171.0,5.9,100.0,792.0,135,75.0,4090.0,82,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-16,4100.0,790.0,5.0
Gauss,Basic 1035110,2700K 770lm 10.5W M F,E14,Candle,171.0,5.9,90.0,695.0,119,70.0,2744.0,82,,0.0,4.4,24.0,7b530f42563b52c4f4cdd364145e9a6a-17,2700.0,770.0,5.0
Gauss,Basic 1033126T,4100K 525lm 5.5W M,E14,Candle,33.0,6.3,100.0,524.0,83,55.0,4062.0,82,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-18,4100.0,525.0,5.0
Gauss,Basic 1033126T,4100K 525lm 5.5W M,E14,Candle,33.0,6.3,100.0,523.0,83,55.0,4001.0,82,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-19,4100.0,525.0,5.0
Gauss,Basic 1033126T,4100K 525lm 5.5W M,E14,Candle,33.0,6.2,99.0,521.0,85,55.0,4014.0,82,,0.0,4.5,12.0,7b530f42563b52c4f4cdd364145e9a6a-20,4100.0,525.0,5.0
Gauss,Basic 1033116T,3000K 525lm 5.5W M,E14,Candle,33.0,6.4,91.0,476.0,74,55.0,2983.0,83,,0.0,4.4,12.0,7b530f42563b52c4f4cdd364145e9a6a-21,3000.0,525.0,5.0
Gauss,Basic 1033116T,3000K 525lm 5.5W M,E14,Candle,33.0,6.2,90.0,470.0,76,50.0,2996.0,83,,0.0,4.3,12.0,7b530f42563b52c4f4cdd364145e9a6a-22,3000.0,525.0,5.0
Gauss,Basic 1033116T,3000K 525lm 5.5W M,E14,Candle,33.0,6.2,90.0,475.0,77,55.0,3001.0,83,,0.0,4.4,12.0,7b530f42563b52c4f4cdd364145e9a6a-23,3000.0,525.0,5.0
Uniel,Air Dimmable LED-C35-5W/NW/E27/CL/DIM GLA01TR,4000K 490lm 5W F D,E27,Candle,146.0,3.4,90.0,441.0,129,50.0,3877.0,84,,40.0,1.9,36.0,7b530f42563b52c4f4cdd364145e9a6a-24,4000.0,490.0,5.0
Uniel,Air Dimmable LED-C35-5W/WW/E27/CL/DIM GLA01TR,3000K 470lm 5W F D,E27,Candle,146.0,4.1,88.0,415.0,102,45.0,2962.0,83,,24.0,3.3,36.0,7b530f42563b52c4f4cdd364145e9a6a-25,3000.0,470.0,5.0
Lexman,LCLB60 5W/840 230V FIL CL E27 Ledvance,4000K 650lm 5W F,E27,Candle,93.0,5.1,110.0,717.0,139,70.0,3979.0,83,,0.0,4.5,60.0,7b530f42563b52c4f4cdd364145e9a6a-26,4000.0,650.0,5.0
Lexman,LCRNT45100 10W/840 230V FR E27 Ledvance,4000K 1000lm 10W M,E27,Candle,140.0,10.3,117.0,1170.0,114,100.0,3968.0,84,,1.0,4.5,36.0,7b530f42563b52c4f4cdd364145e9a6a-27,4000.0,1000.0,10.0
Lexman,LCRNT45100 10W/827 230V FR E27 Ledvance,2700K 1000lm 10W M,E27,Candle,140.0,10.1,108.0,1075.0,106,90.0,2687.0,82,,1.0,4.5,36.0,7b530f42563b52c4f4cdd364145e9a6a-28,2700.0,1000.0,10.0
Lexman,RUK-L2-E27-C-04 Varton,4000K 750lm 7W M,E27,Candle,84.0,6.7,108.0,809.0,120,75.0,3891.0,82,,0.0,4.5,36.0,7b530f42563b52c4f4cdd364145e9a6a-29,4000.0,750.0,7.0
Lexman,RUK-L2-E27-C-03 Varton,2700K 750lm 7W M,E27,Candle,84.0,6.7,97.0,727.0,109,70.0,2695.0,83,,0.0,4.5,36.0,7b530f42563b52c4f4cdd364145e9a6a-30,2700.0,750.0,7.0
Lexman,RUK-L2-E27-C-02 Varton,4000K 600lm 6.5W M,E27,Candle,68.0,7.1,129.0,776.0,109,75.0,3968.0,82,,0.0,4.5,36.0,7b530f42563b52c4f4cdd364145e9a6a-31,4000.0,600.0,5.0
Lexman,RUK-L2-E27-C-01 Varton,2700K 600lm 6.5W M,E27,Candle,68.0,6.8,112.0,670.0,99,70.0,2713.0,83,,0.0,4.5,36.0,7b530f42563b52c4f4cdd364145e9a6a-32,2700.0,600.0,5.0
Osram,AC14223  LED STAR CLASSIC B 75,4000K 806lm 8W M,E27,Candle,170.0,7.6,120.0,968.0,128,85.0,3998.0,83,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-33,4000.0,806.0,8.0
Osram,AC14222  LED STAR CLASSIC B 75,3000K 806lm 8W M,E27,Candle,170.0,7.4,112.0,900.0,121,85.0,2984.0,83,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-34,3000.0,806.0,8.0
Osram,AC24814 LED STAR CLASSIC B60,2700K 600lm 6.5W M,E27,Candle,93.0,6.7,100.0,600.0,89,65.0,2724.0,83,,0.0,4.5,24.0,7b530f42563b52c4f4cdd364145e9a6a-35,2700.0,600.0,5.0
Bellight,C37 7W E27 4000 (L),4000K 600lm 7W M,E27,Candle,68.0,5.8,83.0,495.0,85,55.0,3934.0,81,,0.0,4.2,12.0,7b530f42563b52c4f4cdd364145e9a6a-36,4000.0,600.0,7.0
